Fecha,Numero,Loteria
1989-05-28,94,Cash noche
1989-05-29,368,Cash noche
1989-06-01,160,Cash noche
1989-06-02,818,Cash noche
1989-06-13,622,Cash noche
1989-06-20,999,Cash noche
1989-06-27,331,Cruz roja
1989-06-30,400,Cash noche
1989-07-04,853,Cruz roja
1989-07-07,929,Cash noche
1989-07-12,978,Cash noche
1989-07-19,353,Cash noche
1989-07-20,625,Cash noche
1989-07-23,808,Cash noche
1989-07-24,625,Cash noche
1989-07-27,133,Cash noche
1989-08-01,886,Cash noche
1989-08-06,113,Cash noche
1989-08-11,417,Medellín
1989-08-13,562,Cash noche
1989-08-15,287,Cash noche
1989-08-17,785,Cash noche
1989-08-22,857,Cash noche
1989-08-22,71,Cruz roja
1989-08-23,546,Cash noche
1989-08-25,368,Cash noche
1989-08-27,450,Cash noche
1989-09-02,522,Cash noche
1989-09-07,337,Cash noche
1989-09-10,500,Cash noche
1989-09-12,37,Cash noche
1989-09-19,449,Cash noche
1989-09-26,351,Cash noche
1989-09-26,889,Cruz roja
1989-10-03,666,Cruz roja
1989-10-06,927,Cash noche
1989-10-08,539,Cash noche
1989-10-12,960,Cash noche
1989-10-20,813,Cash noche
1989-10-23,876,Cash noche
1989-10-24,459,Cruz roja
1989-10-27,377,Cash noche
1989-10-28,111,Cash noche
1989-11-02,688,Cash noche
1989-11-03,844,Medellín
1989-11-06,277,Cash noche
1989-11-09,433,Cash noche
1989-11-21,269,Cruz roja
1989-11-30,988,Cash noche
1989-12-05,546,Cash noche
1989-12-09,323,Cash noche
1989-12-18,490,Cash noche
1989-12-24,955,Cash noche
1990-01-01,269,Cash noche
1990-01-08,88,Cash noche
1990-01-09,265,Cruz roja
1990-01-11,549,Cash noche
1990-01-27,546,Cash noche
1990-02-01,91,Cash noche
1990-02-03,962,Cash noche
1990-02-07,113,Cash noche
1990-02-16,853,Cash noche
1990-02-16,296,Medellín
1990-02-20,358,Cash noche
1990-02-23,955,Medellín
1990-02-24,678,Cash noche
1990-03-01,287,Cash noche
1990-03-04,23,Cash noche
1990-03-06,133,Cruz roja
1990-03-07,324,Cash noche
1990-03-09,353,Medellín
1990-03-16,354,Cash noche
1990-03-16,123,Medellín
1990-03-18,337,Cash noche
1990-03-29,337,Cash noche
1990-03-30,289,Cash noche
1990-04-03,927,Cash noche
1990-04-10,560,Cash noche
1990-04-21,385,Cash noche
1990-04-27,678,Cash noche
1990-04-29,809,Cash noche
1990-05-11,160,Cash noche
1990-05-13,517,Cash noche
1990-05-14,170,Cash noche
1990-05-15,668,Cruz roja
1990-05-18,417,Cash noche
1990-05-22,37,Cruz roja
1990-05-29,578,Cash noche
1990-05-29,490,Cruz roja
1990-06-01,165,Medellín
1990-06-05,450,Cruz roja
1990-06-07,929,Cash noche
1990-06-08,296,Medellín
1990-06-15,77,Cash noche
1990-06-15,543,Medellín
